year,sim,b,r,g,r_av,s,c,label,rg,slope,curvature,interest_share
6,12,1.163906401,0.031430955,0.019391709,0.021826492,-0.028018963,0,irresponsible,0.012039246,0.039454381,0.005601977,0.024733364
7,12,1.212089633,0.034593535,0.002035512,0.024379901,-0.022229284,0,irresponsible,0.032558023,0.04768845,0.002374118,0.028375923
8,12,1.2592833,0.031357035,0.010189711,0.025775328,-0.028493056,0,irresponsible,0.021167324,0.044202616,0.001416954,0.031242007
9,12,1.300494865,0.037067486,0.00741079,0.028033759,-0.015432449,0,irresponsible,0.029656695,0.050522358,0.007815267,0.035302445
10,12,1.360328016,0.046027158,0.016130388,0.031632439,-0.039992844,0,irresponsible,0.02989677,0.059833151,0.009310793,0.041137824
1,13,0.9656,0.01,0.019485989,0.01,-0.026676421,0,irresponsible,-0.009485989,0.053446746,-0.006286117,0.009656
2,13,1.019046746,0.009156494,0.012377763,0.009831299,-0.055875549,0,irresponsible,-0.003221269,0.047160629,-0.010674446,0.009493102
3,13,1.059921259,0.018009657,0.015297635,0.011466971,-0.044719322,0,irresponsible,0.002712022,0.032097854,-0.004060309,0.011685379
4,13,1.083242453,0.025159897,0.025614986,0.014205556,-0.035112264,0,irresponsible,-0.000455089,0.039040012,0.005518175,0.015056771
5,13,1.138001282,0.02915952,0.016498792,0.017196349,-0.054015471,0,irresponsible,0.012660727,0.043134204,-0.00551971,0.018627815
6,13,1.169510861,0.040469968,0.021232801,0.021851073,-0.030820613,0,irresponsible,0.019237168,0.028000591,-0.008635439,0.024866549
7,13,1.194002465,0.036277447,0.030323967,0.024736348,-0.030834058,0,irresponsible,0.00595348,0.025863326,0.005790225,0.028929427
8,13,1.221237512,0.039852636,0.020318288,0.027759605,-0.018527028,0,irresponsible,0.019534348,0.039581041,0.013780982,0.033145037
9,13,1.273164546,0.046788136,0.013967015,0.031565311,-0.030731375,0,irresponsible,0.032821121,0.05342529,0.007671252,0.038548742
10,13,1.328088091,0.059395335,0.018863142,0.037131316,-0.032095757,0,irresponsible,0.040532193,0.054923545,0.001498255,0.047274275
